x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28
0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.499999999999996,19.499999999999996,19.499999999999996,19.499999999999996,19.499999999999996,19.499999999999996,19.499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,22.5,22.5,22.5,22.5,22.5,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136.49999999999997,136.49999999999997,136.49999999999997,136.49999999999997,136.49999999999997,136.49999999999997,136.49999999999997,117.0,117.0,117.0,117.0,117.0,117.0,117.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105.0,105.0,105.0,105.0,105.0,105.0,105.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90.0,90.0,90.0,90.0,90.0,90.0,90.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,97.49999999999999,97.49999999999999,97.49999999999999,97.49999999999999,97.49999999999999,97.49999999999999,97.49999999999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,16.5,16.5,16.5,16.5,16.5,16.5
58.49999999999999,58.49999999999999,58.49999999999999,58.49999999999999,58.49999999999999,58.49999999999999,58.49999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.5,76.5,76.5,76.5,76.5,76.5,76.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5
42.0,42.0,42.0,42.0,42.0,42.0,42.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,97.49999999999999,97.49999999999999,97.49999999999999,97.49999999999999,97.49999999999999,97.49999999999999,97.49999999999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.0,63.0,63.0,63.0,63.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0
420.0,420.0,420.0,420.0,420.0,420.0,420.0,462.0,462.0,462.0,462.0,462.0,462.0,462.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,483.0,483.0,483.0,483.0,483.0,483.0,483.0
252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0
21.0,21.0,21.0,21.0,21.0,21.0,21.0,25.5,25.5,25.5,25.5,25.5,25.5,25.5,105.0,105.0,105.0,105.0,105.0,105.0,105.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0
405.0,405.0,405.0,405.0,405.0,405.0,405.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,214.49999999999997,214.49999999999997,214.49999999999997,214.49999999999997,214.49999999999997,214.49999999999997,214.49999999999997,292.49999999999994,292.49999999999994,292.49999999999994,292.49999999999994,292.49999999999994,292.49999999999994,292.49999999999994
