x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.552713678800501e-15,0.0,3.552713678800501e-15,0.0,3.552713678800501e-15,3.552713678800501e-15,19.499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,30.0,45.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,22.5,22.5,22.5,22.5,22.5,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,136.49999999999997,0.0,0.0,0.0,0.0,0.0,0.0,116.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,90.0,22.5,22.5,22.5,22.5,22.5,22.5,180.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,90.0,20.999999999999986,20.999999999999986,20.999999999999986,20.999999999999986,20.999999999999986,20.999999999999986,125.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,97.49999999999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,16.5,16.5,16.5,16.5,16.5,16.5
0.0,0.0,0.0,0.0,7.105427357601002e-15,0.0,58.49999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.5,0.0,0.0,0.0,0.0,0.0,0.0,22.5
0.0,0.0,0.0,0.0,0.0,0.0,42.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,1.4210854715202004e-14,1.4210854715202004e-14,116.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,97.49999999999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-7.105427357601002e-15,-7.105427357601002e-15,62.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,19.5,19.5,19.5,19.5,19.5,19.5,77.99999999999999
0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,461.99999999999994,20.999999999999943,20.999999999999943,20.999999999999943,20.999999999999943,20.999999999999943,20.999999999999943,503.99999999999994,0.0,0.0,-5.684341886080802e-14,0.0,-5.684341886080802e-14,-5.684341886080802e-14,482.99999999999994
36.0,36.0,36.0,36.0,36.0,36.0,252.0,0.0,0.0,0.0,0.0,-2.842170943040401e-14,-2.842170943040401e-14,251.99999999999997,0.0,0.0,0.0,0.0,0.0,0.0,233.99999999999997,0.0,0.0,0.0,0.0,0.0,0.0,194.99999999999997
0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,21.0,21.0,21.0,21.0,21.0,21.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,77.99999999999999
45.0,45.0,45.0,45.0,45.0,45.0,405.0,0.0,0.0,0.0,0.0,-2.842170943040401e-14,-2.842170943040401e-14,311.99999999999994,0.0,0.0,0.0,0.0,0.0,0.0,214.49999999999997,0.0,0.0,0.0,0.0,0.0,0.0,292.49999999999994
0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,311.99999999999994,0.0,0.0,0.0,0.0,0.0,0.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,19.500000000000014,19.500000000000014,19.500000000000014,19.500000000000014,19.500000000000014,19.500000000000014,331.49999999999994
0.0,0.0,0.0,0.0,0.0,0.0,116.99999999999999,48.0,48.0,48.0,48.0,48.0,48.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,77.99999999999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.105427357601002e-15,0.0,0.0,-7.105427357601002e-15,-7.105427357601002e-15,-7.105427357601002e-15,62.99999999999999,21.0,21.0,21.0,21.0,21.0,21.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0
0.0,0.0,0.0,0.0,0.0,0.0,175.49999999999997,58.5,58.5,58.5,58.5,58.5,58.5,233.99999999999997,0.0,0.0,0.0,0.0,0.0,0.0,97.49999999999999,0.0,0.0,0.0,0.0,0.0,0.0,147.0
0.0,0.0,0.0,0.0,0.0,0.0,24.0,19.499999999999996,19.499999999999996,19.499999999999996,19.499999999999996,19.499999999999996,19.499999999999996,38.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,19.499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,19.499999999999996
0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,19.5,19.5,19.5,19.5,19.5,19.5,136.49999999999997,0.0,0.0,0.0,0.0,0.0,0.0,116.99999999999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,21.0,21.0,21.0,21.0,21.0,21.0,42.0
58.5,58.5,58.5,58.5,58.5,58.5,194.99999999999997,0.0,0.0,0.0,0.0,0.0,0.0,116.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0
0.0,0.0,0.0,0.0,0.0,0.0,251.99999999999997,0.0,0.0,0.0,0.0,0.0,0.0,252.0,19.5,19.5,19.5,19.5,19.5,19.5,292.49999999999994,0.0,0.0,0.0,0.0,0.0,0.0,233.99999999999997
0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
