first,second
0.4,-4264.296850780798
0.7,-4682.3514661654135
0.3,-3498.3381839213416
1.0,-4682.3514661654135
0.5,-4612.726752458068
0.2,-2249.4000000000005
0.9,-4682.3514661654135
0.1,-1124.7000000000003
0.8,-4682.3514661654135
0.6,-4678.551914401387
