x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28
0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.499999999999996,19.499999999999996,19.499999999999996,19.499999999999996,19.499999999999996,19.499999999999996,19.499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,22.5,22.5,22.5,22.5,22.5,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136.49999999999997,19.499999999999986,136.49999999999997,19.499999999999986,136.49999999999997,19.499999999999986,136.49999999999997,116.99999999999999,0.0,116.99999999999999,0.0,116.99999999999999,1.4210854715202004e-14,116.99999999999999,90.0,0.0,90.0,0.0,90.0,0.0,90.0,180.0,45.0,180.0,45.0,180.0,45.0,180.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105.0,0.0,105.0,0.0,105.0,0.0,105.0,54.0,0.0,54.0,0.0,54.0,0.0,54.0,135.0,22.5,135.0,22.5,135.0,22.5,135.0,108.0,18.0,108.0,18.0,108.0,18.0,108.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90.0,0.0,90.0,0.0,90.0,0.0,90.0,125.99999999999999,20.999999999999986,125.99999999999999,20.999999999999986,125.99999999999999,20.999999999999986,125.99999999999999,84.0,0.0,84.0,0.0,84.0,0.0,84.0,97.49999999999999,0.0,97.49999999999999,0.0,97.49999999999999,0.0,97.49999999999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,16.5,16.5,16.5,16.5,16.5,16.5
58.49999999999999,39.0,58.49999999999999,39.0,58.49999999999999,39.0,58.49999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.5,51.0,76.5,51.0,76.5,51.0,76.5,22.5,0.0,22.5,0.0,22.5,0.0,22.5
42.0,0.0,42.0,0.0,42.0,0.0,42.0,116.99999999999999,19.5,116.99999999999999,19.5,116.99999999999999,19.5,116.99999999999999,108.0,18.0,108.0,18.0,108.0,18.0,108.0,97.49999999999999,0.0,97.49999999999999,0.0,97.49999999999999,0.0,97.49999999999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.99999999999999,41.99999999999999,62.99999999999999,41.99999999999999,62.99999999999999,41.99999999999999,62.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,21.0,0.0,21.0,0.0,21.0,77.99999999999999,58.499999999999986,77.99999999999999,58.499999999999986,77.99999999999999,58.499999999999986,77.99999999999999
420.0,0.0,420.0,0.0,420.0,0.0,420.0,461.99999999999994,0.0,461.99999999999994,0.0,461.99999999999994,0.0,461.99999999999994,503.99999999999994,41.99999999999994,503.99999999999994,41.99999999999994,503.99999999999994,41.99999999999994,503.99999999999994,482.99999999999994,20.999999999999943,482.99999999999994,20.999999999999943,482.99999999999994,20.999999999999943,482.99999999999994
252.0,36.0,252.0,36.0,252.0,36.0,252.0,251.99999999999997,0.0,251.99999999999997,-2.842170943040401e-14,251.99999999999997,-2.842170943040401e-14,251.99999999999997,233.99999999999997,0.0,233.99999999999997,2.842170943040401e-14,233.99999999999997,2.842170943040401e-14,233.99999999999997,194.99999999999997,0.0,194.99999999999997,0.0,194.99999999999997,0.0,194.99999999999997
